Id;Beschreibung;RAM-Priority;opaque;Triggered;Layer;Speed;FloorDist;BaseX;BaseY;GridX;GridY;MinY;MaxY;Obstacle;TGA-Name
5000;Horizont1a;3;1;0;3;0;0;20;-18;88;1;132;132;0;BACK_A1
5001;Horizont1b;3;1;0;3;0;0;20;-18;88;1;132;132;0;BACK_A2
5002;Horizont2;4;1;0;3;0;0;20;-18;88;1;0;0;0;BACK_B
5003;Horizont3;4;1;0;3;0;0;20;-18;88;1;132;132;0;BACK_C
5004;Horizont4;4;1;0;3;0;0;20;-18;88;1;0;0;0;BACK_D
5005;Treppenwagen;99;0;0;3;0;0;20;-18;88;1;0;0;0;AUTO
5006;FloorF (Rechts an der Werkstatt);99;0;0;3;0;0;20;-18;88;1;0;0;0;FLOOR_F
100;Floor.lbm;1;1;0;10;0;0;27;220;88;1;274;274;0;FLOOR_A
101;Floor.lbm;2;1;0;10;0;0;0;220;88;1;220;220;0;FLOOR_C
103;Floor.lbm;2;0;0;10;0;0;0;220;88;1;220;220;0;FLOOR_CC
105;Floor2.lbm;99;0;0;12;0;0;2;0;44;22;-999;999;0;FLOOR_B
102;Licht am Boden;18;0;0;11;0;0;27;220;88;1;274;274;0;FLOOR_D
104;Licht am Boden;18;0;0;11;0;0;27;220;88;1;274;274;0;FLOOR_E
106;Linker Flughafenrand;99;1;0;10;0;0;2;0;44;22;-999;999;0;FLOOR_Z
107;Linker Flughafenrand;99;1;0;11;0;0;2;0;44;22;-999;999;0;FLOOR_Z
110;UpFloor1.lbm;5;0;0;50;0;0;13;0;44;22;-999;999;0;UPFLOOR0
112;UpFloor3.lbm;5;0;0;50;0;0;13;0;22;22;-999;999;0;UPFLOOR1
113;UpFloor4.lbm;5;0;0;50;0;0;13;0;44;22;-999;999;0;UPFLOOR2
114;UpFloor5.lbm;5;0;0;50;0;0;13;0;44;22;-999;999;0;UPFLOOR3
115;UpFloor6.lbm;5;0;0;50;0;0;13;0;44;22;-999;999;0;UPFLOOR4
120;Saeule.lbm;99;0;0;20;0;0;20;-6;44;22;-999;324;1;SAEULE0
199;Reling-Oben;6;0;0;60;0;0;-47;-8;44;22;-999;999;0;RAIL1
200;Reling-Oben;6;0;0;60;0;0;-47;-8;44;22;-999;999;14;RAIL1
201;Geländer-Oben;10;0;0;60;0;0;-25;-14;44;22;-999;999;0;RAIL2
202;Geländer-Oben;10;0;0;60;0;0;-25;-7;44;22;-999;999;11;RAIL3
203;Geländer-Oben;10;0;0;60;0;0;-23;-4;44;22;-999;999;0;RAIL4
204;Geländer-Oben;10;0;0;60;0;0;-27;-8;44;22;-999;999;11;RAIL5
205;Geländer-Oben;10;0;0;60;0;0;-25;-11;44;22;-999;999;11;RAIL6
206;Geländer-Oben;10;0;0;60;0;0;-23;-4;44;22;-999;999;0;RAIL7
207;Geländer-Oben;10;0;0;60;0;0;-23;-4;44;22;-999;999;0;RAIL8
208;Geländer-Oben (hinte);10;0;0;60;0;0;-12;8;44;22;-999;999;0;RAIL9
210;Geländer-Oben (Ecke, eng);10;0;0;60;0;0;-23;-4;44;22;-999;999;0;RAIL11
220;Ecke des Geländers;10;0;0;60;0;0;-23;-4;44;22;-999;999;0;ECKE01
221;Ecke des Geländers;10;0;0;60;0;0;-23;-4;44;22;-999;999;0;ECKE02
243;Bank.lbm;99;0;0;20;0;0;-10;-13;44;22;417;417;0;WAND3
250;Eingang;99;0;0;20;0;0;-10;-13;44;22;417;417;0;EINGANG1
251;Eingang;99;0;0;20;0;0;-10;-13;44;22;417;417;0;EINGANG2
252;Eingang;99;0;0;20;0;0;-10;-13;44;22;417;417;0;EINGANG3
253;Eingang;99;0;0;12;0;44;-10;-13;44;22;417;417;0;EINGANG4
254;Eingang;99;0;0;19;0;0;-10;-13;44;22;417;417;0;EINGANG5
255;Eingang;99;0;0;17;0;0;-10;-13;44;22;417;417;0;EINGANG6
256;Eingang;99;0;0;20;0;0;-10;-13;44;22;417;417;0;EINGANG7
257;Eingang;99;0;0;20;0;0;-10;-13;44;22;417;417;0;EINGANG8
258;Rollreppe raus;99;0;0;19;2;0;-10;-13;44;22;417;417;0;ROLLTR01 ROLLTR02 ROLLTR03 ROLLTR04 ROLLTR05 ROLLTR06 ROLLTR07 ROLLTR08
259;Rollreppe rein;99;0;0;19;2;0;-10;-13;44;22;417;417;0;ROLLTR08 ROLLTR07 ROLLTR06 ROLLTR05 ROLLTR04 ROLLTR03 ROLLTR02 ROLLTR01
260;Reling;4;0;0;20;0;0;4;-33;44;22;417;417;1;RELING
280;Durchleuchter-Barriere;99;0;0;20;0;0;49;-4;44;22;-999;999;0;DURCHL01
281;Durchleuchter-Barriere;99;2;0;20;0;0;53;-9;44;22;-999;999;11;DURCHL02
282;Screen-Hinten;99;0;0;20;0;-21;25;-4;44;22;-999;999;10;DURCHL03
283;Screen-Vorne;99;0;0;20;0;0;39;-4;44;22;-999;999;10;DURCHL04
284;Knight Rider;99;0;0;20;2;8;39;-4;44;22;-999;999;0;KNIGHT01 KNIGHT02 KNIGHT03
287;Durchgang aus dem Dutyfree-Bereich;99;0;0;20;0;0;39;-4;44;22;-999;999;0;AUSG01
288;Durchgang aus dem Dutyfree-Bereich;99;0;0;20;0;-16;39;-4;44;22;-999;999;0;AUSG02
301;Briefk.lbm;19;0;0;20;0;30;14;0;44;22;-999;999;0;BRIEFK
302;Colaautomat;19;0;0;20;0;0;34;10;44;22;-999;999;1;COLAC
303;Electro-Skelett;99;0;1;20;2;90;34;10;44;22;-999;999;0;TRANS ELECTRO1 ELECTRO2 ELECTRO1 ELECTRO2 ELECTRO1 ELECTRO2 ELECTRO1 ELECTRO2 ELECTRO1 ELECTRO2 ELECTRO1 ELECTRO2 ELECTRO1 ELECTRO2
305;Kiosk.lbm;99;0;0;20;0;0;34;10;44;22;-999;999;1;KIOSKX
309;Fenster2.lbm;5;0;0;5;0;0;33;-128;44;1;-128;-128;0;FENSTER2
310;Fenster.lbm;5;0;0;5;0;0;33;93;44;1;93;93;10;FENSTER1
311;Fenster2.lbm;5;0;0;5;0;0;33;-128;44;1;-128;-128;10;FENSTER2
312;Wand (rechts);18;0;0;20;0;132;-16;21;44;22;-999;999;0;WA01
313;Wand (rechts);99;0;0;25;0;0;16;35;44;22;-999;999;0;WA01A
314;Wand (rechts);18;0;0;20;0;0;33;93;88;1;93;93;0;WA02
315;Wand (rechts);99;0;0;20;0;0;33;93;88;1;93;93;0;WA02A
316;Wand (rechts);99;0;0;20;0;0;33;93;88;1;93;93;0;WA02B
317;Senkrechter Stahlträger;99;0;0;20;0;0;33;93;88;1;93;93;0;WA03
318;Wand (links);18;0;0;20;0;0;33;93;88;1;93;93;0;WALINKS1
319;Wand (links);18;0;0;20;0;0;33;93;88;1;93;93;0;WALINKS2
320;Fensterende links;99;0;0;5;0;0;33;-128;44;1;-128;-128;10;FENSTER7
330;Rampe;19;0;0;70;0;0;-25;35;44;22;-10;-10;0;RAMPE1
331;Rampe;19;0;0;70;0;0;-35;35;44;22;-10;-10;0;RAMPE2
332;Rampe;19;0;0;70;0;0;-25;35;44;22;-10;-10;0;RAMPE3
333;Rampen-Zierde;19;0;0;70;0;0;-25;35;44;22;-10;-10;0;RAMPE4
334;Rampen-Zierde;19;0;0;70;0;0;-35;35;44;22;-10;-10;0;RAMPE5
335;Rampen-Zierde;19;0;0;70;0;0;-25;35;44;22;-10;-10;0;RAMPE6
337;Kamera;7;0;0;60;1;76;-33;35;22;22;44;44;0;KAMERA1 KAMERA1X
338;Kamera;7;0;0;60;1;76;-19;35;22;22;44;44;0;KAMERA2 KAMERA2X
340;Fracht Back;99;0;0;11;0;0;-5;35;22;22;44;44;0;FRACHT01
341;Fracht Treppe;99;0;0;30;0;0;9;35;22;22;44;44;0;FRACHT02
342;Fracht Tür;99;0;0;30;0;0;23;35;22;22;44;44;0;FRACHT03
343;Fracht Treppe (H);99;0;0;11;0;0;23;35;22;22;44;44;0;FRACHT04
344;Türrahmen;99;0;0;20;0;0;23;35;22;22;44;44;0;WALINKSX
345;Fracht: Türrahmen;99;0;0;20;2;0;23;-5;44;1;65;65;0;WALINKSD
350;Pflanzen (neu);19;0;0;20;0;0;0;-9;44;22;-999;999;1;PLANT01
351;Pflanzen (neu);19;0;0;20;0;0;25;-7;44;22;-999;999;1;PLANT02
352;Pflanzen (neu);19;0;0;20;0;0;32;0;44;22;-999;999;1;PLANT03
353;Pflanzen (neu);19;0;0;20;0;0;14;2;44;22;-999;999;1;PLANT04
354;Pflanzen (neu);19;0;0;20;0;0;16;0;44;22;-999;999;1;PLANT05
355;Pflanzen (neu);19;0;0;20;0;0;34;2;44;22;-999;999;1;PLANT06
356;Pflanzen (neu);19;0;0;20;0;0;34;5;44;22;-999;999;1;PLANT07
370;Sitze;13;0;0;20;0;0;6;11;44;22;-999;999;3;SITZ1
371;Sitze;13;0;0;20;0;0;6;11;44;22;-999;999;3;SITZ2
372;Sitze;13;0;0;20;0;0;24;11;44;22;-999;999;3;SITZ3
400;Stab2.lbm;99;0;0;60;0;0;-24;32;44;22;-999;999;11;STAB2
401;Stab2.lbm;12;0;0;20;0;0;-24;32;44;22;-999;999;11;STAB2
402;Stab3.lbm;12;0;0;20;0;0;-13;32;44;22;189;409;4;STAB3
411;Exponate;99;0;0;60;0;0;12;45;44;22;189;409;1;EXPONAT2
412;Exponate;99;2;0;60;0;36;32;45;44;22;189;409;0;EXPONAT3
413;Exponate;99;0;0;60;0;0;52;45;44;22;189;409;2;EXPONAT4
420;Bild;19;0;0;60;0;44;52;45;1;22;66;66;0;DECO01
421;Pinnwand;19;0;1;60;0;36;52;45;1;22;65;65;0;DECO02 DECO02B
422;Mülleimer;19;0;0;60;0;-2;52;45;1;22;103;103;0;DECO03
423;Feuerlöscher;19;0;0;60;0;11;52;45;1;22;103;103;0;DECO04
425;Toilettentisch;19;0;0;20;0;0;52;45;44;22;189;409;0;TOILTISH
427;Blinkende Lampe;19;0;0;61;1;0;52;45;44;22;100;100;0;LIGHT01 LIGHT01 LIGHT01 LIGHT01 LIGHT01 LIGHT01 LIGHT01 LIGHT01 LIGHT02 LIGHT01 LIGHT02 LIGHT01 LIGHT01 LIGHT01 LIGHT02 LIGHT01 LIGHT02 LIGHT01 LIGHT02 LIGHT01 LIGHT01
450;Fließband n. links;99;0;0;20;2;-30;43;40;44;22;-999;999;43;FLC03 FLC04 FLC05 FLC06 FLC07 FLC01 FLC02
451;Fließband n. links;99;0;0;20;2;-30;9;40;44;22;-999;999;43;FLB01 FLB02 FLB03 FLB04 FLB05 FLB06 FLB07
452;Fließband n. links;99;0;0;20;2;-30;-6;40;44;22;-999;999;43;FLA06 FLA07 FLA01 FLA02 FLA03 FLA04 FLA05
453;Fließband n. oben;99;0;0;20;2;-30;1;60;44;22;-999;999;40;TC02 TC03 TC04 TC05 TC06 TC07 TC01
454;Fließband n. oben;99;0;0;20;2;-30;12;55;44;22;-999;999;40;TB01 TB02 TB03 TB04 TB05 TB06 TB07
455;Fließband n. oben;99;0;0;20;2;-30;2;55;44;22;-999;999;0;TA07 TA01 TA02 TA03 TA04 TA05 TA06
