Id;ShortName;Cost;Weight;Power;Noise;Wartung;Passagiere;Verbrauch
1000;B1;10000000;30000;0;0;-15;95;0
1001;B2;40000000;90000;-10725;-5;0;600;0
1002;B3;15000000;45000;-5100;-40;-15;190;0
1003;B4;25000000;70000;-6125;-20;-15;355;0
1004;B5;20000000;60000;-5125;-10;-15;280;500
2000;C1;100000;2000;200;5;10;0;0
2001;C2;1100000;2500;320;2;5;0;0
2002;C3;1200000;4000;100;0;0;0;-150
2003;C4;200000;500;0;5;20;0;0
2004;C5;4000000;5000;0;-15;0;0;-250
3000;H1;1500000;6500;0;10;0;0;0
3001;H2;800000;4500;0;0;0;0;300
3002;H3;1200000;2500;0;0;0;0;0
3003;H4;4500000;3000;0;0;0;0;-200
3003;H5;2000000;4000;-2000;20;-20;0;0
3003;H6;6000000;8000;0;-20;10;0;-400
3003;H7;5000000;3500;0;-10;0;0;0
4000;R1;6000000;5200;-5760;-10;0;0;-200
4001;R2;3000000;4600;-5012;0;0;0;0
4002;R3;1700000;3800;0;2;0;0;0
4003;R4;1200000;2500;0;5;0;0;0
4004;R5;500000;1500;0;0;0;0;0
4004;R6;2000000;8750;0;0;0;0;500
5000;M1;2300000;1000;7500;3;0;0;1100
5001;M2;100000;300;5000;20;10;0;200
5002;M3;250000;500;6000;20;10;0;450
5003;M4;4300000;1400;9000;3;0;0;1500
5003;M5;2400000;800;5500;0;0;0;1250
5003;M6;4500000;1800;13500;14;5;0;2900
5003;M7;7000000;2300;20000;20;10;0;2650
5003;M8;3000000;3100;15000;15;12;0;3400
6000;L1;6000000;5200;-5760;-10;0;0;-200
6001;L2;3000000;4600;-5012;0;0;0;0
6002;L3;1700000;3800;0;2;0;0;0
6003;L4;1200000;2500;0;5;10;0;0
6004;L5;500000;1500;0;0;10;0;0
6004;L6;2000000;8750;0;0;0;0;500
