Id;Name;Lage;Areacode;Abk.;Abk.;Raw;TextResBaseId;AnzText;PhotoFilename / GLI-Filename;AnzPhoto;Einwohner Stadt;Breite (X);Höhe (Y);Breite (X);Höhe (Y);Miete;NewInAddOn
294;Abu Dhabi;Middle East;3;AUH;AUH;-;0;0;NOCITY;0;1483000;54,4;-24,5;54,4;-24,5;16000;1
243;Abuja;West Africa;3;ABV;ABV;-;0;0;NOCITY;0;3000000;7,4;-9,1;7,4;-9,1;10000;1
242;Accra;West Africa;3;ACC;ACC;-;0;0;NOCITY;0;2270000;-0,2;-5,6;-0,2;-5,6;9000;1
240;Addis Ababa;East Africa;3;ADD;ADD;-;0;0;NOCITY;0;3600000;38,7;-9;38,7;-9;10000;1
200;Algiers;North Africa;3;ALG;ALG;-;0;0;NOCITY;0;3700000;3,1;-36,7;3,1;-36,7;14000;1
287;Amman;Middle East;3;AMM;AMM;-;0;0;NOCITY;0;2182000;35,9;-31,9;35,9;-31,9;11000;1
122;Amsterdam;West Europe;1;AMS;AMS;ams;2220;1;AMSTER1;1;719000;5;-52,2;5;-52,2;7000;0
133;Ankara;Europe;1;ANK;ESB;ank;2330;1;ANKARA1;1;2559000;32,5;-40;32,5;-40;26000;0
148;Antananarivo;East Africa;3;ANT;TNR;-;2480;1;ANA1;1;1052000;48;19;43;19;11000;0
362;Apia;Pacific;4;APW;APW;-;0;0;NOCITY;0;37000;-171,8;13,8;-171,8;13,8;6000;1
307;Ashgabat;Central Asia;3;ASB;ASB;-;0;0;NOCITY;0;1032000;58,4;-38;58,4;-38;8000;1
272;Asmara;East Africa;3;ASM;ASM;-;0;0;NOCITY;0;963000;38,9;-15,3;38,9;-15,3;6000;1
305;Astana;Central Asia;3;TSE;NQZ;-;0;0;NOCITY;0;1200000;71,5;-51,2;71,5;-51,2;10000;1
337;Asuncion;South America;2;ASU;ASU;-;0;0;NOCITY;0;2200000;-57,6;25,3;-57,6;25,3;8000;1
113;Athens;South-East Europe;1;ATH;ATH;ath;2999;1;ATHEN1;2;772000;23,8;-38;23,8;-38;8000;0
159;Atlanta;North America   ;2;ATL;ATL;-;2590;1;ATLANTA1;1;416000;-90,2;-33,5;-92,2;-25,5;6000;2
158;Atlantis;Atlantic       ;1;ATS;ATS;-;2580;1;NOCITY;0;1000000;-30;-41;-30;-41;12000;2
