Typ;Group;Comment;Update;W'keit;Speed;Faktor;Koffer;Gimmik beim laufen oder Gimmick OffsetX;Gimmick beim warten oder Gimmick OffsetX;OffsetX;OffsetY;Palette;Norden;...;Anz;Osten;...;Anz;Süden;...;Anz;Westen;...;Anz;Rennen: Norden;;Anz;Rennen: Osten;;Anz;Rennen: Süden;;Anz;Rennen: Westen;;Anz;Gimmick;Anz;Winken;Anz;SitzenN;Anz;SitzenS;Anz;Stehen;Stehgimmick;Anz
10;-;Schwester Anne;0;100;3;3;-1;3;3;0;0;SCHW_PAL.LBM;SCHW_N01;SCHW_N01;3;SCHW_O01 SCHW_O02 SCHW_O03 SCHW_O04;SCHW_O01;6;SCHW_S01 SCHW_S02 SCHW_S03 SCHW_S04;SCHW_S01;3;SCHW_W01 SCHW_W02 SCHW_W03 SCHW_W04;SCHW_W01;6;SCHW_N01;SCHW_N01;3;SCHW_O01 SCHW_O02 SCHW_O03 SCHW_O04;SCHW_O01;6;SCHW_S01 SCHW_S02 SCHW_S03 SCHW_S04;SCHW_S01;3;SCHW_W01 SCHW_W02 SCHW_W03 SCHW_W04;SCHW_W01;6;SCHW_W03;-1;SCHW_W01;-1;SCHWSITN;-1;SCHWSITS;-1;SCHW_WN SCHW_WO SCHW_WS SCHW_WW;SCHW_WN;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SK_O01;SK_O01;1;SCHWSK1;SCHWSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;SCHWSK1 SCHWSK1 SCHWSK1 SCHWSK1;SK_O01;-1
10;-;Schwester Anne;0;100;3;3;1;3;3;0;0;SCHW_PAL.LBM;SCHW_N01;SCHW_N01;3;SCHW_O01 SCHW_O02 SCHW_O03 SCHW_O04;SCHW_O01;6;SCHW_S01 SCHW_S02 SCHW_S03 SCHW_S04;SCHW_S01;3;SCHW_W01 SCHW_W02 SCHW_W03 SCHW_W04;SCHW_W01;6;SCHW_N01;SCHW_N01;3;SCHW_O01 SCHW_O02 SCHW_O03 SCHW_O04;SCHW_O01;6;SCHW_S01 SCHW_S02 SCHW_S03 SCHW_S04;SCHW_S01;3;SCHW_W01 SCHW_W02 SCHW_W03 SCHW_W04;SCHW_W01;6;SCHW_W03;-1;SCHW_W01;-1;SCHWSITN;-1;SCHWSITS;-1;SCHW_WN SCHW_WO SCHW_WS SCHW_WW;SCHW_WN;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SK_O01;SK_O01;1;SCHWSK1;SCHWSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;SCHWSK1 SCHWSK1 SCHWSK1 SCHWSK1;SK_O01;-1
11;-;Soldat;0;100;3;3;-16;-;-;0;0;MIL_PAL.LBM;MILN_01;MILN_01;3;MILR_01;MILR_01;6;MILS_01;MILS_01;3;MILL_01;MILL_01;6;MILN_01;MILN_01;3;MILR_01;MILR_01;6;MILS_01;MILS_01;3;MILL_01;MILL_01;6;SCHW_W03;-1;SCHW_W01;-1;MILSITN;-1;MILSITS;-1;MILNW_01 MILRW_01 MILSW_01 MILLW_01;MILNW_01;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;0;2;-;SK_O01;SK_O01;1;MILSK1;MILSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;SCHWSK1 SCHWSK1 SCHWSK1 SCHWSK1;SK_O01;-1
11;-;Soldat;0;100;3;3;16;-;-;0;0;MIL_PAL.LBM;MIBN_01;MIBN_01;3;MIBR_01;MIBR_01;6;MIBS_01;MIBS_01;3;MIBL_01;MIBL_01;6;MIBN_01;MIBN_01;3;MIBR_01;MIBR_01;6;MIBS_01;MIBS_01;3;MIBL_01;MIBL_01;6;SCHW_W03;-1;SCHW_W01;-1;MILSITN;-1;MILSITS;-1;MIBNW_01 MIBRW_01 MIBSW_01 MIBLW_01;MILNW_01;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;0;2;-;SK_O01;SK_O01;1;MILSK1;MILSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;SCHWSK1 SCHWSK1 SCHWSK1 SCHWSK1;SK_O01;-1
11;-;Gefangener;0;20;3;3;-17;-;-;0;0;PRI_PAL.LBM;PRIN_01;PRIN_01;3;PRIO_01;PRIO_01;6;PRIS_01;PRIS_01;3;PRIW_01;PRIW_01;6;PRIL_01;PRIL_01;6;PRIL_01;PRIL_01;6;PRIL_01;PRIL_01;6;PRIL_01;PRIL_01;6;PRIW_01;-1;PRIW_01;-1;PRISITN;-1;PRISITS;-1;PRIWN PRIWO PRWS PRIWW;PRIWN;-1
-;-;-;-;-;-;-;-;-;-;0;2;-;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SK_O01;SK_O01;1;SCHWSK1;SCHWSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;SCHWSK1 SCHWSK1 SCHWSK1 SCHWSK1;SK_O01;-1
11;-;Gefangener;0;20;2;3;17;-;-;0;0;PRI_PAL.LBM;PRKN_01;PRKN_01;3;PRKO_01;PRKO_01;6;PRKS_01;PRKS_01;3;PRKW_01;PRKW_01;6;PRKL_01;PRKL_01;6;PRKL_01;PRKL_01;6;PRKL_01;PRKL_01;6;PRKL_01;PRKL_01;6;PRKW_01;-1;PRKW_01;-1;PRISITN;-1;PRISITS;-1;PRKWN PRKWO PRWS PRKWW;PRIWN;-1
-;-;-;-;-;-;-;-;-;-;0;2;-;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SK_O01;SK_O01;1;SCHWSK1;SCHWSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;SCHWSK1 SCHWSK1 SCHWSK1 SCHWSK1;SK_O01;-1
11;-;Camper;0;100;3;3;0;-;-;0;1;CAMP_PAL.LBM;CAMP_N01;CAMP_N01;3;CAMP_O01 CAMP_O02 CAMP_O03 CAMP_O04;CAMP_O01;6;CAMP_S01 CAMP_S02 CAMP_S03 CAMP_S04;CAMP_S01;3;CAMP_W01 CAMP_W02 CAMP_W03 CAMP_W04;CAMP_W01;6;CAMP_N01;CAMP_N01;6;CAMP_O01 CAMP_O02 CAMP_O03 CAMP_O04;CAMP_O01;6;CAMP_S01 CAMP_S02 CAMP_S03 CAMP_S04;CAMP_S01;6;CAMP_W01 CAMP_W02 CAMP_W03 CAMP_W04;CAMP_W01;6;SCHW_W03;-1;SCHW_W01;-1;CAMPSITN;-1;CAMPSITS;-1;CAMP_WN CAMP_WO CAMP_WS CAMP_WW;CAMP_WN;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;0;2;-;SK_O01;SK_O01;1;CAMPSK1;CAMPSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1; CAMPSK1 CAMPSK1 CAMPSK1 CAMPSK1;SK_O01;-1
11;-;Alter Mann (ohne Koffer);0;100;5;1;-15;-;-;0;0;OLDM_PAL.LBM;OLDM_LN1;OLDM_LN1;6;OLDM_LO1;OLDM_LO1;6;OLDM_LS1;OLDM_LS1;6;OLDM_LW1;OLDM_LW1;6;OLDM_LN1;OLDM_LN1;6;OLDM_LO1;OLDM_LO1;6;OLDM_LS1;OLDM_LS1;6;OLDM_LW1;OLDM_LW1;6;SCHW_W03;-1;SCHW_W01;-1;OLDMSITN;-1;OLDMSITS;-1;OLDM_WN OLDM_WO OLDM_WS OLDM_WW;OLDM_WN;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SK_O01;SK_O01;1;OLDMSK1;OLDMSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;OLDMSK1 OLDMSK1 OLDMSK1 OLDMSK1;SK_O01;-1
11;-;Alter Mann (mit Koffer);0;100;1;1;15;-;-;0;0;OLDM_PAL.LBM;OLDM_CN1;OLDM_CN1;6;OLDM_CO1;OLDM_CO1;6;OLDM_CS1;OLDM_CS1;6;OLDM_CW1;OLDM_CW1;6;OLDM_CN1;OLDM_CN1;6;OLDM_CO1;OLDM_CO1;6;OLDM_CS1;OLDM_CS1;6;OLDM_CW1;OLDM_CW1;6;SCHW_W03;-1;SCHW_W01;-1;OLDMSITN;-1;OLDMSITS;-1;OLDM_PN OLDM_PO OLDM_PS OLDM_PW;OLDM_WN;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SK_O01;SK_O01;1;OLDMSK1;OLDMSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;OLDMSK1 OLDMSK1 OLDMSK1 OLDMSK1;SK_O01;-1
11;-;Black Man;0;100;5;3;0;-;-;0;0;BLAC_PAL.LBM;BLAC_N01;BLAC_N01;6;BLAC_O01 BLAC_O02 BLAC_O03 BLAC_O04;BLAC_O01;6;BLAC_S01 BLAC_S02 BLAC_S03 BLAC_S04;BLAC_S01;6;BLAC_W01 BLAC_W02 BLAC_W03 BLAC_W04;BLAC_W01;6;BLAC_N01;BLAC_N01;6;BLAC_O01 BLAC_O02 BLAC_O03 BLAC_O04;BLAC_O01;6;BLAC_S01 BLAC_S02 BLAC_S03 BLAC_S04;BLAC_S01;6;BLAC_W01 BLAC_W02 BLAC_W03 BLAC_W04;BLAC_W01;6;SCHW_W03;-1;SCHW_W01;-1;BLACSITN;-1;BLACSITS;-1;BLAC_WN BLAC_WO BLAC_WS BLAC_WW;BLAC_WN;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SK_O01;SK_O01;1;BLACSK1;BLACSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;BLACSK1 BLACSK1 BLACSK1 BLACSK1;SK_O01;-1
11;-;Engländer;0;100;5;3;0;-;-;0;0;AN_PAL.LBM;ANN_01;ANN_01;3;ANO_01;ANO_01;6;ANS_01;ANS_01;3;ANW_01;ANW_01;6;ANW_01;ANW_01;6;ANW_01;ANW_01;6;ANW_01;ANW_01;6;ANW_01;ANW_01;6;ANW_01;-1;ANW_01;-1;ANSITN;-1;ANSITS;-1;ANWN ANWO ANWS ANWW;ANW_01;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SH_BIG;SH_BIG;1;SH_BIG3;SH_BIG3;1;SH_BIG;SH_BIG;1;SH_BIG2;SH_BIG2;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SK_O01;SK_O01;1;ANSK1;ANSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01 SK_O01 SK_O01 SK_O01;SK_O01;-1
11;-;Schwuler;0;100;5;3;0;-;-;0;0;PD_PAL.LBM;PDN_01;PDN_01;3;PDO_01;PDO_01;6;PDS_01;PDS_01;3;PDW_01;PDW_01;6;PDW_01;PDW_01;6;PDW_01;PDW_01;6;PDW_01;PDW_01;6;PDW_01;PDW_01;6;PDW_01;-1;PDW_01;-1;PDSITN;-1;PDSITS;-1;PDWN_01 PDWO_01 PDWS_01 PDWW_01;PDW_01;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SH_BIG;SH_BIG;1;SH_BIG3;SH_BIG3;1;SH_BIG;SH_BIG;1;SH_BIG2;SH_BIG2;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;-1;0;-;SK_O01;SK_O01;1;PDSK1;PDSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01 SK_O01 SK_O01 SK_O01;SK_O01;-1
11;-;Arbeiter;0;100;3;3;0;-;-;0;0;ARB_PAL.LBM;ARBN_01;ARBN_01;3;ARBO_01;ARBO_01;6;ARBS_01;ARBS_01;3;ARBW_01;ARBW_01;6;ARBW_01;ARBW_01;6;ARBW_01;ARBW_01;6;ARBW_01;ARBW_01;6;ARBW_01;ARBW_01;6;ARBW_01;-1;ARBW_01;-1;ARBSITN;-1;ARBSITS;-1;ARBWN_01 ARBWO_01 ARBWS_01 ARBWW_01;ARBWN_01;-1
-;-;-;-;-;-;-;-;-;-;0;3;-;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SK_O01;SK_O01;1;ARBSK1;ARBSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01 SK_O01 SK_O01 SK_O01;SK_O01;-1
10;-;Rocker;0;100;3;3;0;-;-;0;0;ROCK_PAL.LBM;RON_01;RON_01;3;ROO_01;ROO_01;6;ROS_01;ROS_01;3;ROW_01;ROW_01;6;ROW_01;ROW_01;6;ROW_01;ROW_01;6;ROW_01;ROW_01;6;ROW_01;ROW_01;6;ROW_01;-1;ROW_01;-1;ROSITN;-1;ROSITS;-1;ROWN_01 ROWO_01 ROWS_01 ROWW_01;ROWN_01;-1
-;-;-;-;-;-;-;-;-;-;0;3;-;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;6;5;-;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01 SK_O01 SK_O01 SK_O01;SK_O01;-1
11;-;Tourist;0;100;3;3;0;-;-;0;0;TOUR_PAL.LBM;TON_01;TON_01;3;TOO_01;TOO_01;6;TOS_01;TOS_01;3;TOW_01;TOW_01;6;TOW_01;TOW_01;6;TOW_01;TOW_01;6;TOW_01;TOW_01;6;TOW_01;TOW_01;6;TOW_01;-1;TOW_01;-1;TOSITN;-1;TOSITS;-1;TOWN_01 TOWO_01 TOWS_01 TOWW_01;TOWN_01;-1
-;-;-;-;-;-;-;-;-;-;0;3;-;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;8;2;-;SK_O01;SK_O01;1;SCHWSK1;SCHWSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01 SK_O01 SK_O01 SK_O01;SK_O01;-1
11;-;Amerikaner;0;100;3;3;0;-;-;0;0;AMK_PAL.LBM;AMKN_01;AMKN_01;3;AMKO_01;AMKO_01;6;AMKS_01;AMKS_01;3;AMKW_01;AMKW_01;6;AMKW_01;AMKW_01;6;AMKW_01;AMKW_01;6;AMKW_01;AMKW_01;6;AMKW_01;AMKW_01;6;AMKW_01;-1;AMKW_01;-1;AMKSITN;-1;AMKSITS;-1;AMKWN_01 AMKWO_01 AMKWS_01 AMKWW_01;AMKWN_01;-1
-;-;-;-;-;-;-;-;-;-;0;3;-;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;8;2;-;SK_O01;SK_O01;1;AMSK1;AMSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01 SK_O01 SK_O01 SK_O01;SK_O01;-1
11;-;Supporter (Fan);0;100;3;3;-18;-;-;0;0;FAN_PAL.LBM;SUN_01;SUN_01;3;SUO_01;SUO_01;6;SUS_01;SUS_01;3;SUW_01;SUW_01;6;SUW_01;SUW_01;6;SUW_01;SUW_01;6;SUW_01;SUW_01;6;SUW_01;SUW_01;6;SUW_01;-1;SUW_01;-1;SUSITN;-1;SUSITS;-1;SUWN_01 SUWO_01 SUWS_01 SUWW_01;SUW_01;-1
-;-;ohne Koffer;-;-;-;-;-;-;-;0;3;-;SH_BIG;SH_BIG;1;SH_BIG3;SH_BIG3;1;SH_BIG;SH_BIG;1;SH_BIG2;SH_BIG2;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SK_O01;SK_O01;1;SUSK1;SUSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01 SK_O01 SK_O01 SK_O01;SK_O01;-1
11;-;Supporter (Fan);0;100;3;3;18;-;-;0;0;FAN_PAL.LBM;SUKN_01;SUKN_01;3;SUKO_01;SUKO_01;6;SUKS_01;SUKS_01;3;SUKW_01;SUKW_01;6;SUKW_01;SUKW_01;6;SUKW_01;SUKW_01;6;SUKW_01;SUKW_01;6;SUKW_01;SUKW_01;6;SUKW_01;-1;SUKW_01;-1;SUSITN;-1;SUSITS;-1;SUKWN_01 SUKWO_06 SUKWS_01 SUKWW_01;SUKW_01;-1
-;-;mit Koffer;-;-;-;-;-;-;-;0;3;-;SH_BIG;SH_BIG;1;SH_BIG3;SH_BIG3;1;SH_BIG;SH_BIG;1;SH_BIG2;SH_BIG2;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;SH_BIG;1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG;-1;SH_BIG SH_BIG SH_BIG SH_BIG;SH_BIG;-1
-;-;-;-;-;-;-;-;-;-;0;0;-;SK_O01;SK_O01;1;SUSK1;SUSK1;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;SK_O01;1;SK_O01;SK_O01;6;SK_O01;SK_O01;1;SK_W01;SK_W01;6;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01;-1;SK_O01 SK_O01 SK_O01 SK_O01;SK_O01;-1
