Id;From;To;Offset2dX;Offset2dY;Offset3dX;Offset3dY;Note1;Note2;Note3;Noise
100;-;-;-44;-75;320;190;113;100;100;0
101;-;-;-107;-120;320;190;115;113;100;0
102;-;-;-67;-76;320;190;114;100;100;0
103;-;-;-80;-99;320;190;114;113;100;0
104;-;-;-80;-94;320;190;115;100;100;0
200;B1;C1;-48;-1;103;30;111;100;104;0
201;B1;C2;-64;0;104;30;111;100;105;0
202;B1;C3;-76;0;104;30;112;100;108;0
203;B1;C4;-37;0;104;30;110;100;103;0
204;B1;C5;-99;0;104;31;112;111;100;0
210;B2;C1;-48;36;250;105;111;100;104;0
211;B2;C2;-64;37;250;105;111;100;105;0
212;B2;C3;-76;37;250;105;112;100;108;0
213;B2;C4;-37;37;250;106;110;100;103;0
214;B2;C5;-99;37;250;106;112;111;100;0
220;B3;C1;-48;-1;157;46;111;100;104;0
221;B3;C2;-64;1;157;45;111;100;105;0
222;B3;C3;-76;1;158;46;112;100;108;0
223;B3;C4;-37;1;158;46;110;100;103;0
224;B3;C5;-99;1;158;46;112;111;100;0
230;B4;C1;-48;8;208;60;111;100;104;0
231;B4;C2;-64;8;209;60;111;100;105;0
232;B4;C3;-76;8;209;60;112;100;108;0
233;B4;C4;-37;8;209;60;110;100;103;0
234;B4;C5;-99;9;209;60;112;111;100;0
240;B5;C1;-48;8;207;60;111;100;104;0
241;B5;C2;-64;9;208;60;111;100;105;0
242;B5;C3;-76;9;208;60;112;100;108;0
243;B5;C4;-37;9;208;61;110;100;103;0
244;B5;C5;-99;10;208;61;112;111;100;0
300;B1;H1;89;-71;-131;-121;100;100;100;0
301;B1;H2;89;-47;-127;-91;100;100;100;0
302;B1;H3;89;-43;-112;-90;100;100;100;0
303;B1;H4;89;-46;-79;-85;100;100;105;0
304;B1;H5;89;-47;-112;-87;100;100;100;0
305;B1;H6;89;-30;-100;-59;100;100;100;0
306;B1;H7;89;-59;-136;-113;100;100;108;0
310;B2;H1;214;-60;-128;-120;100;100;100;0
311;B2;H2;214;-36;-126;-91;100;100;100;0
312;B2;H3;214;-32;-112;-90;100;100;100;0
313;B2;H4;214;-35;-78;-84;100;102;105;0
314;B2;H5;214;-36;-111;-87;100;100;100;0
315;B2;H6;214;-19;-99;-58;100;100;100;0
316;B2;H7;214;-48;-136;-113;100;100;108;0
320;B3;H1;134;-71;-130;-121;100;100;100;0
321;B3;H2;134;-46;-126;-91;100;100;100;0
322;B3;H3;134;-43;-112;-90;100;100;100;0
323;B3;H4;134;-45;-79;-85;100;100;105;0
324;B3;H5;134;-47;-112;-87;100;100;100;0
325;B3;H6;134;-29;-100;-59;100;100;100;0
326;B3;H7;134;-59;-136;-113;100;100;108;0
330;B4;H1;178;-63;-130;-121;100;100;100;0
331;B4;H2;178;-39;-127;-91;100;100;100;0
332;B4;H3;178;-35;-113;-90;100;100;100;0
333;B4;H4;178;-38;-80;-85;100;100;105;0
334;B4;H5;178;-39;-113;-87;100;100;100;0
335;B4;H6;178;-21;-100;-59;100;100;100;0
336;B4;H7;178;-51;-137;-113;100;100;108;0
340;B5;H1;178;-62;-130;-121;100;100;100;0
341;B5;H2;178;-38;-126;-91;100;100;100;0
342;B5;H3;178;-34;-112;-90;100;100;100;0
343;B5;H4;178;-37;-80;-85;100;100;105;0
344;B5;H5;178;-38;-113;-87;100;100;100;0
345;B5;H6;178;-20;-101;-59;100;100;100;0
346;B5;H7;178;-50;-136;-113;100;100;108;0
400;B1;R4;4;34;-128;59;100;100;100;0
600;B1;L4;4;-33;43;-96;100;100;100;0
401;B1;R5;0;35;-66;58;100;100;100;0
601;B1;L5;0;-7;37;-53;100;100;100;0
411;B2;R1;46;41;-64;77;100;100;100;0
611;B2;L1;46;-32;77;-112;100;100;100;0
413;B2;R1;32;74;-43;124;100;100;100;0
613;B2;L1;32;1;98;-64;100;100;100;0
420;B2;R2;98;43;-137;64;100;100;100;0
620;B2;L2;98;-16;29;-98;100;100;100;0
421;B2;R2;58;43;-88;79;100;100;100;0
621;B2;L2;58;-16;79;-83;100;100;100;0
422;B2;R2;23;43;-37;94;100;100;100;0
622;B2;L2;23;-16;130;-68;100;100;100;0
423;B2;R2;44;76;-67;127;100;100;100;0
623;B2;L2;44;17;100;-36;100;100;100;0
424;B2;R3;17;42;-84;71;100;100;100;0
624;B2;L3;17;-12;45;-73;100;100;100;0
430;B2;R4;110;43;-130;59;100;100;100;0
630;B2;L4;110;-21;30;-98;100;100;100;0
431;B2;R4;70;43;-84;73;100;100;100;0
631;B2;L4;70;-21;82;-84;100;100;100;0
432;B2;R4;35;43;-33;87;100;100;100;0
632;B2;L4;35;-21;133;-69;100;100;100;0
433;B2;R4;67;76;-60;121;100;100;100;0
633;B2;L4;67;12;103;-36;100;100;100;0
