Ebene;Von;Nach;Miete;Beliebtheitsfaktor
1;Oslo;Copenhagen;200000;1
1;Oslo;London;300000;1
1;Stockholm;Oslo;200000;2
1;Stockholm;Moscow;250000;1
1;Stockholm;Frankfurt;350000;1.2
1;Reykjavik;Oslo;250000;0.7
1;London;Reykjavik;300000;1
1;Copenhagen;Berlin;300000;1
1;Copenhagen;London;300000;1
1;Copenhagen;Helsinki;200000;1
1;Warsaw;Kiev;200000;1
1;Berlin;Warsaw;300000;1
1;Kiev;Ankara;200000;1
1;Kiev;Moscow;250000;1
1;Moscow;Warsaw;250000;1
1;Amsterdam;Berlin;500000;1
1;Amsterdam;London;500000;1
1;Amsterdam;Paris;500000;1
1;Dublin;London;400000;1
1;Dublin;Madrid;400000;1
1;Dublin;Reykjavik;400000;1
1;Frankfurt;Paris;700000;0.8
1;Frankfurt;Berlin;800000;1
1;Berlin;Paris;600000;1
1;Berlin;London;600000;1
1;Berlin;Munich;600000;1
1;Berlin;Moscow;500000;1
1;Munich;Rome;500000;1.1
1;Vienna;Rome;500000;1
1;Vienna;Zurich;300000;1.3
1;Zurich;Paris;400000;1
1;Vienna;Munich;400000;1
1;Paris;Rome;400000;1
1;Paris;London;550000;1.4
1;Paris;Madrid;300000;1
1;Rome;Cairo;200000;1
1;Rome;Athens;300000;1
1;Athens;Ankara;300000;1
1;Rome;Tunisia;200000;1
1;Cairo;Tunisia;200000;1
1;Madrid;Tunisia;200000;1
1;Nairobi;Johannesburg;200000;1.1
1;Dakar;Nairobi;200000;1
1;Nairobi;Cairo;200000;1.2
1;Antananarivo;Nairobi;200000;0.7
1;Antananarivo;Johannesburg;200000;0.7
1;Antananarivo;Male;200000;0.7
1;Dakar;Tunisia;200000;1
1;Dakar;Johannesburg;200000;1
1;Ankara;Cairo;200000;1
1;Sydney;Melbourne;200000;1
1;Perth;Sydney;150000;1.3
1;Perth;Melbourne;150000;1.3
1;Perth;Male;150000;1.3
1;Perth;Singapore;150000;1.3
1;Caracas;Rio de Janeiro;300000;1.2
1;Caracas;San Jose;200000;1
1;Caracas;Lima;200000;1
1;Kingston;Caracas;200000;0.6
1;Kingston;Miami;300000;1.5
1;Mexico City;San Jose;400000;1
1;Buenos Aires;Rio de Janeiro;300000;1.2
1;Lima;Rio de Janeiro;400000;1
1;San Jose;Miami;400000;1
